GUN LAW STRENGTH (RANKED),STATE,2017 GRADE,2016 GRADE,2015 GRADE,2014 GRADE
1,California,A,A,A-,A-
2,New Jersey,A-,A-,A-,A-
3,Connecticut,A-,A-,A-,A-
4,Massachusetts,A-,A-,A-,A-
5,New York,A-,A-,A-,A-
6,Maryland,A-,A-,A-,A-
7,Hawaii,A-,A-,B+,B+
8,Illinois,B+,B+,B+,B+
9,Rhode Island,B+,B+,B+,B+
10,Washington,B,B,B-,B-
11,Delaware,B,B,B,B-
12,Minnesota,C+,C+,C,C
13,Pennsylvania,C,C,C,C
14,Oregon,C,C,C,D+
15,Colorado,C,C,C-,C-
16,Michigan,C,C,C,C
17,Wisconsin,C-,C-,D,C-
18,Iowa,C-,C,C-,C-
19,Nebraska,D,D,D,D
20,Virginia,D,D,D,D
21,Ohio,D,D,D,D
22,Nevada,D,C-,F,F
23,Indiana,D-,D-,D-,D-
24,Tennessee,D-,F,F,F
25,North Carolina,D-,D-,F,F
26,Florida,F,F,F,F
27,Oklahoma,F,F,F,F
27,Utah,F,F,F,F
29,New Mexico,F,F,F,F
29,South Carolina,F,F,F,F
31,New Hampshire,F,D,D,D-
32,Georgia,F,F,F,F
32,Texas,F,F,F,F
32,West Virginia,F,F,D-,F
35,Maine,F,F,F,F
36,Alabama,F,F,F,F
37,Montana,F,F,F,F
37,North Dakota,F,F,F,F
39,Arkansas,F,F,F,F
40,South Dakota,F,F,F,F
41,Vermont,F,F,F,F
42,Kentucky,F,F,F,F
43,Louisiana,F,F,F,F
44,Alaska,F,F,F,F
45,Wyoming,F,F,F,F
46,Idaho,F,F,F,F
47,Arizona,F,F,F,F
48,Kansas,F,F,F,F
48,Missouri,F,F,F,F
50,Mississippi,F,F,F,F
